time_upper,rate
2.0,0.0317
4.0,0.0302
6.0,0.031
8.0,0.0321
10.0,0.0308
12.0,0.0319
14.0,0.0283
16.0,0.0284
18.0,0.0281
20.0,0.0308
22.0,0.0276
24.0,0.0262
26.0,0.0312
28.0,0.026
30.0,0.0236
32.0,0.0304
34.0,0.0348
36.0,0.0231
38.0,0.0239
40.0,0.0237
42.0,0.0294
44.0,0.0218
46.0,0.023
48.0,0.0221
50.0,0.0226
52.0,0.0279
54.0,0.0268
56.0,0.0226
58.0,0.0225
60.0,0.0234
62.0,0.0313
64.0,0.0233
66.0,0.0238
68.0,0.022
70.0,0.0216
72.0,0.0234
74.0,0.0212
76.0,0.0229
78.0,0.0228
80.0,0.0209
82.0,0.0243
84.0,0.0222
86.0,0.0254
88.0,0.0226
90.0,0.0233
92.0,0.0236
94.0,0.0215
96.0,0.0308
98.0,0.0221
100.0,0.022
102.0,0.0223
104.0,0.022
106.0,0.023
108.0,0.0299
110.0,0.0377
112.0,0.0472
114.0,0.0526
116.0,0.0598
118.0,0.0645
120.0,0.0781
122.0,0.0806
124.0,0.1019
126.0,0.0644
128.0,0.0276
130.0,0.0262
132.0,0.0247
134.0,0.0218
136.0,0.0216
138.0,0.0216
140.0,0.0217
142.0,0.0239
144.0,0.0269
146.0,0.0202
148.0,0.0191
150.0,0.023
152.0,0.0303
154.0,0.0205
156.0,0.0264
158.0,0.02
160.0,0.0243
162.0,0.0223
164.0,0.0239
166.0,0.0263
168.0,0.0311
170.0,0.0296
172.0,0.0266
174.0,0.0194
176.0,0.0202
178.0,0.0269
180.0,0.0224
182.0,0.0248
184.0,0.0225
186.0,0.0208
188.0,0.0245
190.0,0.0195
192.0,0.0232
194.0,0.0381
196.0,0.0339
198.0,0.0227
200.0,0.0278
202.0,0.0322
204.0,0.0257
206.0,0.0215
208.0,0.0228
210.0,0.0197
212.0,0.027
214.0,0.0206
216.0,0.0203
218.0,0.0251
220.0,0.0205
222.0,0.0217
224.0,0.0197
226.0,0.0205
228.0,0.0201
230.0,0.0189
232.0,0.0255
234.0,0.0222
236.0,0.0186
238.0,0.0172
240.0,0.0176
242.0,0.0237
244.0,0.0232
246.0,0.0231
248.0,0.0259
250.0,0.0233
252.0,0.0221
254.0,0.0212
256.0,0.0217
258.0,0.019
260.0,0.0196
262.0,0.0199
264.0,0.0194
266.0,0.0194
268.0,0.0188
270.0,0.0185
272.0,0.0201
274.0,0.0185
276.0,0.0188
278.0,0.0196
280.0,0.0191
282.0,0.0215
284.0,0.0227
286.0,0.0215
288.0,0.0191
290.0,0.0197
292.0,0.0206
294.0,0.0196
296.0,0.0214
298.0,0.0201
300.0,0.0198
302.0,0.0272
304.0,0.0219
306.0,0.0211
308.0,0.0241
310.0,0.0259
312.0,0.0496
314.0,0.0452
316.0,0.0236
318.0,0.0233
320.0,0.0259
322.0,0.0346
324.0,0.0368
326.0,0.0376
328.0,0.0373
330.0,0.0435
332.0,0.0408
334.0,0.0352
336.0,0.0313
338.0,0.0336
340.0,0.0438
342.0,0.0383
344.0,0.0354
346.0,0.0248
348.0,0.0253
350.0,0.0265
