time_upper,rate
10.0,0.7402
20.0,0.7251
30.0,0.6902
40.0,0.6987
50.0,0.6788
60.0,0.6833
70.0,0.7134
80.0,0.7309
90.0,0.7237
100.0,0.7434
110.0,0.733
120.0,0.7421
130.0,0.8307
140.0,0.7442
150.0,0.7473
160.0,0.7702
170.0,0.7677
180.0,0.7623
190.0,0.7698
200.0,0.7062
210.0,0.704
220.0,0.7322
230.0,0.7056
240.0,0.7316
250.0,0.7922
260.0,0.8208
270.0,0.8014
280.0,0.8191
290.0,0.8031
300.0,0.7774
310.0,0.8353
320.0,0.815
330.0,0.8368
340.0,0.8466
350.0,0.809
360.0,0.8027
370.0,0.8684
380.0,0.865
390.0,0.826
400.0,0.8591
410.0,0.8342
420.0,0.8393
430.0,0.8978
440.0,0.8485
450.0,0.8492
460.0,0.8605
470.0,0.8634
480.0,0.8277
490.0,0.8886
500.0,0.8545
510.0,0.8498
520.0,0.8583
530.0,0.8431
540.0,0.8424
550.0,0.8705
560.0,0.8582
570.0,0.8644
580.0,0.8361
590.0,0.8639
600.0,0.8269
610.0,0.928
620.0,0.8602
630.0,0.8734
640.0,0.9169
650.0,0.9034
660.0,0.8971
670.0,0.8849
680.0,0.8536
690.0,0.8817
700.0,0.8932
710.0,0.8582
720.0,0.8479
730.0,0.8739
740.0,0.8566
750.0,0.8718
760.0,0.8937
770.0,0.881
780.0,0.8605
790.0,0.9192
800.0,0.9223
810.0,0.9583
820.0,0.9197
830.0,0.9202
840.0,0.9301
850.0,0.9589
860.0,0.9823
870.0,0.9177
880.0,0.9258
890.0,0.9138
900.0,0.8776
910.0,0.9071
920.0,0.8998
930.0,0.911
940.0,0.9795
950.0,0.8997
960.0,0.8934
970.0,1.0
980.0,0.9705
990.0,0.8998
1000.0,0.9094
1010.0,0.8776
1020.0,0.8728
1030.0,0.9265
1040.0,0.9148
1050.0,0.9453
1060.0,0.9598
1070.0,0.904
1080.0,0.8521
1090.0,0.9029
1100.0,0.872
1110.0,0.8729
1120.0,0.8749
1130.0,0.8862
1140.0,0.8964
1150.0,0.8903
1160.0,0.8977
1170.0,0.9206
1180.0,0.937
1190.0,0.8644
1200.0,0.8275
1210.0,0.8613
1220.0,0.845
1230.0,0.8523
1240.0,0.8427
1250.0,0.8406
1260.0,0.8118
1270.0,0.8387
1280.0,0.8838
1290.0,0.7918
1300.0,0.8263
1310.0,0.7721
1320.0,0.7719
1330.0,0.7847
1340.0,0.7424
1350.0,0.7142
1360.0,0.7621
1370.0,0.7434
1380.0,0.7216
1390.0,0.7439
1400.0,0.7378
1410.0,0.7278
1420.0,0.7423
1430.0,0.718
1440.0,0.7138
