time_upper,rate
10.0,0.3951
20.0,0.5117
30.0,0.5156
40.0,0.4397
50.0,0.4388
60.0,0.4469
70.0,0.4197
80.0,0.4157
90.0,0.4287
100.0,0.4487
110.0,0.4167
120.0,0.4028
130.0,0.4246
140.0,0.4205
150.0,0.4448
160.0,0.5399
170.0,0.5444
180.0,0.4564
190.0,0.4092
200.0,0.5733
210.0,0.4631
220.0,0.48
230.0,0.4126
240.0,0.4334
250.0,0.386
260.0,0.407
270.0,0.3735
280.0,0.3958
290.0,0.4159
300.0,0.3971
310.0,0.4618
320.0,0.7207
330.0,0.802
340.0,0.7671
350.0,0.6243
360.0,0.4605
370.0,0.588
380.0,0.6458
390.0,0.539
400.0,0.4633
410.0,0.5864
420.0,0.5584
430.0,0.5975
440.0,0.7736
450.0,0.6259
460.0,0.4803
470.0,0.5876
480.0,0.6095
490.0,0.8464
500.0,0.829
510.0,0.9287
520.0,0.807
530.0,0.8281
540.0,0.8455
550.0,0.8291
560.0,0.8691
570.0,1.0
580.0,0.6168
590.0,0.7253
600.0,0.4787
610.0,0.5354
620.0,0.54
630.0,0.5737
640.0,0.6375
650.0,0.651
660.0,0.6698
670.0,0.638
680.0,0.554
690.0,0.5356
700.0,0.5629
710.0,0.6216
720.0,0.4732
730.0,0.5092
740.0,0.5529
750.0,0.5791
760.0,0.5309
770.0,0.5472
780.0,0.4972
790.0,0.5448
800.0,0.5878
810.0,0.5548
820.0,0.6583
830.0,0.6132
840.0,0.5438
850.0,0.518
860.0,0.6551
870.0,0.536
880.0,0.6023
890.0,0.5453
900.0,0.5384
910.0,0.5342
920.0,0.5884
930.0,0.7858
940.0,0.6371
950.0,0.5506
960.0,0.4489
970.0,0.5238
980.0,0.5295
990.0,0.5298
1000.0,0.4877
1010.0,0.498
1020.0,0.5419
1030.0,0.4971
1040.0,0.5268
1050.0,0.5298
1060.0,0.571
1070.0,0.8395
1080.0,0.624
1090.0,0.7459
1100.0,0.7925
1110.0,0.7878
1120.0,0.892
1130.0,0.9516
1140.0,0.9572
1150.0,0.7489
1160.0,0.6703
1170.0,0.5952
1180.0,0.6916
1190.0,0.7438
1200.0,0.6162
1210.0,0.5467
1220.0,0.5593
1230.0,0.4597
1240.0,0.4647
1250.0,0.5236
1260.0,0.4815
1270.0,0.4921
1280.0,0.6083
1290.0,0.6488
1300.0,0.5008
1310.0,0.5146
1320.0,0.4575
1330.0,0.4502
1340.0,0.4487
1350.0,0.4879
1360.0,0.4641
1370.0,0.4178
1380.0,0.4207
1390.0,0.447
1400.0,0.4699
1410.0,0.4357
1420.0,0.4192
1430.0,0.4021
1440.0,0.39
